step,temp,current_cost,best_cost
28840,13.54,4699.1,4658.2
28880,13.47,4684.9,4658.2
28920,13.4,4684.9,4658.2
28960,13.34,4685.5,4658.2
29000,13.27,4685.5,4658.2
29040,13.2,4685.5,4658.2
29080,13.14,4685.5,4658.2
29120,13.07,4716.3,4658.2
29160,13.01,4716.3,4658.2
29200,12.94,4716.3,4658.2
29240,12.88,4757.2,4658.2
29280,12.81,4783.7,4658.2
29320,12.75,4716.8,4658.2
29360,12.68,4702.9,4658.2
29400,12.62,4702.9,4658.2
29440,12.56,4702.9,4658.2
29480,12.5,4700.9,4658.2
29520,12.43,4700.9,4658.2
29560,12.37,4711.4,4658.2
29600,12.31,4730.4,4658.2
29640,12.25,4713.0,4658.2
29680,12.19,4689.3,4658.2
29720,12.13,4674.7,4658.2
29760,12.06,4700.4,4658.2
29800,12.0,4712.8,4658.2
29840,11.94,4715.4,4658.2
29880,11.88,4715.4,4658.2
29920,11.83,4715.4,4658.2
29960,11.77,4715.4,4658.2
30000,11.71,4715.4,4658.2
30040,11.65,4717.8,4658.2
30080,11.59,4727.4,4658.2
30120,11.53,4700.9,4658.2
30160,11.47,4685.1,4658.2
30200,11.42,4685.1,4658.2
30240,11.36,4687.0,4658.2
30280,11.3,4687.0,4658.2
30320,11.25,4687.0,4658.2
30360,11.19,4687.0,4658.2
30400,11.13,4665.6,4658.2
30440,11.08,4665.6,4658.2
30480,11.02,4665.6,4658.2
30520,10.97,4665.6,4658.2
30560,10.91,4665.6,4658.2
30600,10.86,4665.6,4658.2
30640,10.81,4663.7,4658.2
30680,10.75,4663.7,4658.2
30720,10.7,4663.7,4658.2
30760,10.64,4679.7,4658.2
30800,10.59,4679.7,4658.2
30840,10.54,4680.4,4658.2
30880,10.48,4680.4,4658.2
30920,10.43,4680.4,4658.2
30960,10.38,4664.4,4658.2
31000,10.33,4664.4,4658.2
31040,10.28,4664.4,4658.2
31080,10.23,4631.2,4631.2
31120,10.17,4631.2,4631.2
31160,10.12,4679.4,4631.2
31200,10.07,4679.4,4631.2
31240,10.02,4679.4,4631.2
31280,9.97,4681.0,4631.2
31320,9.92,4684.3,4631.2
31360,9.87,4684.3,4631.2
31400,9.82,4681.0,4631.2
31440,9.77,4681.0,4631.2
31480,9.73,4702.1,4631.2
31520,9.68,4681.0,4631.2
31560,9.63,4681.0,4631.2
31600,9.58,4668.6,4631.2
31640,9.53,4668.6,4631.2
31680,9.48,4668.6,4631.2
31720,9.44,4654.3,4631.2
31760,9.39,4654.3,4631.2
31800,9.34,4654.3,4631.2
31840,9.3,4653.6,4631.2
31880,9.25,4651.4,4631.2
31920,9.2,4651.4,4631.2
31960,9.16,4651.4,4631.2
32000,9.11,4653.6,4631.2
32040,9.07,4619.7,4619.7
32080,9.02,4619.7,4619.7
32120,8.98,4619.7,4619.7
32160,8.93,4607.7,4607.7
32200,8.89,4607.7,4607.7
32240,8.84,4607.7,4607.7
32280,8.8,4609.0,4607.7
32320,8.75,4609.0,4607.7
32360,8.71,4609.0,4607.7
32400,8.67,4587.8,4587.8
32440,8.62,4601.7,4587.8
32480,8.58,4601.7,4587.8
32520,8.54,4601.7,4587.8
32560,8.49,4601.7,4587.8
32600,8.45,4601.7,4587.8
32640,8.41,4541.6,4541.6
32680,8.37,4541.6,4541.6
32720,8.33,4541.6,4541.6
